condition,stream,mode,level,detector,filter,activation_row,blocks,alarms,alarm_rate,resets,reset_requests,rejected_updates,rejected_update_rate,reset_rejections,rows,resets_per_100k,event_applicable,detection_delay,commit_delay,missed_detections,missed_commits,scheduled_events,unexposed_false_alarm_rate,unexposed_blocks,event_recall
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,adwin,learned_features,1000,249,2,0.008032128514056224,1,1,63,0.25301204819277107,0,249000,0.4016064257028113,True,3.75,5.75,2.0,2.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,adwin,learned_features_label,1000,249,4,0.01606425702811245,1,1,19,0.07630522088353414,0,249000,0.4016064257028113,True,3.5,3.75,1.0,2.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hddm_w,none,1000,249,71,0.285140562248996,1,2,85,0.3413654618473896,1,249000,0.4016064257028113,True,1.0833333333333333,4.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hddm_w,learned_features,1000,249,75,0.30120481927710846,2,5,45,0.18072289156626506,3,249000,0.8032128514056226,True,1.0833333333333333,2.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hddm_w,learned_features_label,1000,249,0,0.0,0,0,13,0.05220883534136546,0,249000,0.0,True,,,3.0,3.0,3.0,,0.0,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hellinger,none,1000,249,27,0.10843373493975904,6,7,93,0.37349397590361444,1,249000,2.4096385542168672,True,7.083333333333333,5.25,0.0,1.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hellinger,learned_features,1000,249,28,0.11244979919678715,0,0,39,0.1566265060240964,0,249000,0.0,True,4.75,,0.0,3.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,hellinger,learned_features_label,1000,249,25,0.10040160642570281,2,2,24,0.0963855421686747,0,249000,0.8032128514056226,True,5.416666666666667,3.25,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,d3_oof,none,1000,249,9,0.03614457831325301,0,0,51,0.20481927710843373,0,249000,0.0,True,21.25,,2.0,3.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,d3_oof,learned_features,1000,249,3,0.012048192771084338,0,0,39,0.1566265060240964,0,249000,0.0,True,7.25,,2.0,3.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,d3_oof,learned_features_label,1000,249,4,0.01606425702811245,0,0,13,0.05220883534136546,0,249000,0.0,True,,,3.0,3.0,3.0,,0.0,0.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,adwin,none,1000,249,133,0.5341365461847389,10,21,89,0.357429718875502,11,249000,4.016064257028113,True,1.0833333333333333,4.75,0.0,0.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,adwin,learned_features,1000,249,134,0.5381526104417671,11,22,78,0.3132530120481928,11,249000,4.417670682730924,True,1.0833333333333333,3.0,0.0,1.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,adwin,learned_features_label,1000,249,62,0.24899598393574296,4,11,41,0.1646586345381526,7,249000,1.6064257028112452,True,0.75,2.75,0.0,2.0,3.0,0.07142857142857142,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hddm_w,none,1000,249,106,0.42570281124497994,9,22,89,0.357429718875502,13,249000,3.614457831325301,True,1.0833333333333333,4.75,0.0,0.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hddm_w,learned_features,1000,249,102,0.40963855421686746,12,22,83,0.3333333333333333,10,249000,4.8192771084337345,True,2.75,4.75,0.0,0.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hddm_w,learned_features_label,1000,249,8,0.0321285140562249,0,0,18,0.07228915662650602,0,249000,0.0,True,7.25,,2.0,3.0,3.0,0.0,28.0,0.33333333333333337
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hellinger,none,1000,249,15,0.060240963855421686,3,4,32,0.1285140562248996,1,249000,1.2048192771084336,True,11.75,20.25,0.0,2.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hellinger,learned_features,1000,249,21,0.08433734939759036,4,6,48,0.1927710843373494,2,249000,1.6064257028112452,True,8.416666666666666,9.25,0.0,1.0,3.0,0.07142857142857142,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,hellinger,learned_features_label,1000,249,20,0.08032128514056225,3,4,14,0.05622489959839357,1,249000,1.2048192771084336,True,5.416666666666667,2.5,0.0,1.0,3.0,0.0,28.0,1.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,d3_oof,none,1000,249,3,0.012048192771084338,0,0,33,0.13253012048192772,0,249000,0.0,True,,,3.0,3.0,3.0,0.03571428571428571,28.0,0.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,d3_oof,learned_features,1000,249,10,0.040160642570281124,0,4,21,0.08433734939759036,4,249000,0.0,True,3.25,,1.0,3.0,3.0,0.03571428571428571,28.0,0.6666666666666667
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,d3_oof,learned_features_label,1000,249,7,0.028112449799196786,0,0,18,0.07228915662650602,0,249000,0.0,True,9.5,,1.0,3.0,3.0,0.03571428571428571,28.0,0.6666666666666667
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,adwin,none,1000,249,195,0.7831325301204819,9,29,70,0.28112449799196787,20,249000,3.614457831325301,True,0.4166666666666667,6.0,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,adwin,learned_features,1000,249,193,0.7751004016064257,8,23,70,0.28112449799196787,15,249000,3.2128514056224904,True,0.4166666666666667,4.083333333333333,0.0,0.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,adwin,learned_features_label,1000,249,73,0.2931726907630522,1,9,35,0.14056224899598393,8,249000,0.4016064257028113,True,2.75,8.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hddm_w,none,1000,249,166,0.6666666666666666,10,25,71,0.285140562248996,15,249000,4.016064257028113,True,0.4166666666666667,4.0,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hddm_w,learned_features,1000,249,167,0.6706827309236948,6,20,60,0.24096385542168675,14,249000,2.4096385542168672,True,0.4166666666666667,4.0,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hddm_w,learned_features_label,1000,249,11,0.04417670682730924,0,1,18,0.07228915662650602,1,249000,0.0,True,4.75,,1.0,3.0,3.0,0.0,1.0,0.6666666666666667
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hellinger,none,1000,249,28,0.11244979919678715,4,10,57,0.2289156626506024,6,249000,1.6064257028112452,True,2.0833333333333335,12.75,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hellinger,learned_features,1000,249,23,0.09236947791164658,5,7,56,0.2248995983935743,2,249000,2.0080321285140563,True,5.083333333333333,5.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,hellinger,learned_features_label,1000,249,22,0.08835341365461848,2,5,30,0.12048192771084337,3,249000,0.8032128514056226,True,4.75,2.75,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,d3_oof,none,1000,249,9,0.03614457831325301,1,3,26,0.10441767068273092,2,249000,0.4016064257028113,True,5.5,,1.0,3.0,3.0,0.0,1.0,0.6666666666666667
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,d3_oof,learned_features,1000,249,4,0.01606425702811245,1,3,47,0.18875502008032127,2,249000,0.4016064257028113,True,10.5,2.75,1.0,2.0,3.0,0.0,1.0,0.6666666666666667
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,d3_oof,learned_features_label,1000,249,6,0.024096385542168676,1,1,25,0.10040160642570281,0,249000,0.4016064257028113,True,9.0,2.75,1.0,2.0,3.0,0.0,1.0,0.6666666666666667
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,adwin,none,1000,249,35,0.14056224899598393,3,4,45,0.18072289156626506,1,249000,1.2048192771084336,True,4.75,3.5,0.0,1.0,3.0,0.09090909090909091,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,adwin,learned_features,1000,249,35,0.14056224899598393,2,4,46,0.18473895582329317,2,249000,0.8032128514056226,True,4.75,3.5,0.0,1.0,3.0,0.0,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,adwin,learned_features_label,1000,249,50,0.20080321285140562,2,5,24,0.0963855421686747,3,249000,0.8032128514056226,True,4.75,3.5,0.0,1.0,3.0,0.09090909090909091,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hddm_w,none,1000,249,4,0.01606425702811245,1,2,25,0.10040160642570281,1,249000,0.4016064257028113,True,1.75,3.75,2.0,2.0,3.0,0.0,11.0,0.33333333333333337
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hddm_w,learned_features,1000,249,2,0.008032128514056224,1,1,30,0.12048192771084337,0,249000,0.4016064257028113,True,1.75,3.75,2.0,2.0,3.0,0.0,11.0,0.33333333333333337
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hddm_w,learned_features_label,1000,249,0,0.0,0,0,14,0.05622489959839357,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,11.0,0.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hellinger,none,1000,249,23,0.09236947791164658,1,3,38,0.15261044176706828,2,249000,0.4016064257028113,True,3.4166666666666665,4.75,0.0,2.0,3.0,0.0,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hellinger,learned_features,1000,249,21,0.08433734939759036,0,0,23,0.09236947791164658,0,249000,0.0,True,10.083333333333334,,0.0,3.0,3.0,0.0,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,hellinger,learned_features_label,1000,249,22,0.08835341365461848,1,1,21,0.08433734939759036,0,249000,0.4016064257028113,True,3.75,4.75,0.0,2.0,3.0,0.09090909090909091,11.0,1.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,d3_oof,none,1000,249,9,0.03614457831325301,0,0,18,0.07228915662650602,0,249000,0.0,True,3.25,,2.0,3.0,3.0,0.18181818181818182,11.0,0.33333333333333337
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,d3_oof,learned_features,1000,249,5,0.020080321285140562,0,0,23,0.09236947791164658,0,249000,0.0,True,,,3.0,3.0,3.0,0.09090909090909091,11.0,0.0
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,d3_oof,learned_features_label,1000,249,8,0.0321285140562249,0,1,16,0.0642570281124498,1,249000,0.0,True,13.416666666666666,,0.0,3.0,3.0,0.0,11.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,adwin,none,1000,249,43,0.17269076305220885,2,4,39,0.1566265060240964,2,249000,0.8032128514056226,True,1.75,4.0,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,adwin,learned_features,1000,249,33,0.13253012048192772,2,4,32,0.1285140562248996,2,249000,0.8032128514056226,True,5.75,4.0,0.0,1.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,adwin,learned_features_label,1000,249,46,0.18473895582329317,1,2,14,0.05622489959839357,1,249000,0.4016064257028113,True,2.0833333333333335,5.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hddm_w,none,1000,249,5,0.020080321285140562,1,2,30,0.12048192771084337,1,249000,0.4016064257028113,True,1.75,3.75,2.0,2.0,3.0,0.0,1.0,0.33333333333333337
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hddm_w,learned_features,1000,249,2,0.008032128514056224,0,0,21,0.08433734939759036,0,249000,0.0,True,13.75,,2.0,3.0,3.0,0.0,1.0,0.33333333333333337
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hddm_w,learned_features_label,1000,249,0,0.0,0,0,13,0.05220883534136546,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,1.0,0.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hellinger,none,1000,249,23,0.09236947791164658,2,3,38,0.15261044176706828,1,249000,0.8032128514056226,True,8.083333333333334,2.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hellinger,learned_features,1000,249,24,0.0963855421686747,1,1,24,0.0963855421686747,0,249000,0.4016064257028113,True,8.083333333333334,6.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,hellinger,learned_features_label,1000,249,22,0.08835341365461848,1,1,17,0.06827309236947791,0,249000,0.4016064257028113,True,6.416666666666667,2.25,0.0,2.0,3.0,0.0,1.0,1.0
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,d3_oof,none,1000,249,7,0.028112449799196786,0,0,18,0.07228915662650602,0,249000,0.0,True,18.25,,2.0,3.0,3.0,0.0,1.0,0.33333333333333337
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,d3_oof,learned_features,1000,249,11,0.04417670682730924,0,1,17,0.06827309236947791,1,249000,0.0,True,8.0,,1.0,3.0,3.0,0.0,1.0,0.6666666666666667
SEA_A__base_s0__splice__severe__a0,SEA_A,splice,severe,d3_oof,learned_features_label,1000,249,3,0.012048192771084338,0,0,13,0.05220883534136546,0,249000,0.0,True,5.25,,2.0,3.0,3.0,0.0,1.0,0.33333333333333337
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,adwin,none,1000,249,8,0.0321285140562249,2,3,54,0.21686746987951808,1,249000,0.8032128514056226,True,2.4166666666666665,4.0,0.0,1.0,3.0,0.022099447513812154,181.0,1.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,adwin,learned_features,1000,249,8,0.0321285140562249,2,3,24,0.0963855421686747,1,249000,0.8032128514056226,True,2.4166666666666665,4.0,0.0,1.0,3.0,0.027624309392265192,181.0,1.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,adwin,learned_features_label,1000,249,8,0.0321285140562249,3,3,24,0.0963855421686747,0,249000,1.2048192771084336,True,2.0,4.0,1.0,1.0,3.0,0.022099447513812154,181.0,0.6666666666666667
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hddm_w,none,1000,249,0,0.0,0,0,20,0.08032128514056225,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,181.0,0.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hddm_w,learned_features,1000,249,0,0.0,0,0,16,0.0642570281124498,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,181.0,0.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hddm_w,learned_features_label,1000,249,0,0.0,0,0,15,0.060240963855421686,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,181.0,0.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hellinger,none,1000,249,19,0.07630522088353414,2,2,26,0.10441767068273092,0,249000,0.8032128514056226,True,6.75,7.0,0.0,1.0,3.0,0.06077348066298342,181.0,1.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hellinger,learned_features,1000,249,23,0.09236947791164658,1,2,25,0.10040160642570281,1,249000,0.4016064257028113,True,4.083333333333333,5.75,0.0,2.0,3.0,0.09392265193370165,181.0,1.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,hellinger,learned_features_label,1000,249,18,0.07228915662650602,0,0,15,0.060240963855421686,0,249000,0.0,True,8.0,,1.0,3.0,3.0,0.08287292817679558,181.0,0.6666666666666667
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,d3_oof,none,1000,249,6,0.024096385542168676,2,2,19,0.07630522088353414,0,249000,0.8032128514056226,True,5.416666666666667,5.0,0.0,1.0,3.0,0.016574585635359115,181.0,1.0
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,d3_oof,learned_features,1000,249,5,0.020080321285140562,1,1,21,0.08433734939759036,0,249000,0.4016064257028113,True,5.75,7.75,2.0,2.0,3.0,0.022099447513812154,181.0,0.33333333333333337
SEA_A__base_s1__clean__none__anone,SEA_A,clean,none,d3_oof,learned_features_label,1000,249,6,0.024096385542168676,0,0,15,0.060240963855421686,0,249000,0.0,True,12.75,,2.0,3.0,3.0,0.027624309392265192,181.0,0.33333333333333337
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,adwin,none,1000,249,3,0.012048192771084338,1,1,35,0.14056224899598393,0,249000,0.4016064257028113,True,4.0,4.75,1.0,2.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,adwin,learned_features,1000,249,5,0.020080321285140562,2,2,42,0.1686746987951807,0,249000,0.8032128514056226,True,3.5,5.5,1.0,1.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,adwin,learned_features_label,1000,249,7,0.028112449799196786,2,2,26,0.10441767068273092,0,249000,0.8032128514056226,True,6.75,4.0,0.0,1.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hddm_w,none,1000,249,17,0.06827309236947791,3,3,72,0.2891566265060241,0,249000,1.2048192771084336,True,2.4166666666666665,3.5,0.0,1.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hddm_w,learned_features,1000,249,20,0.08032128514056225,3,4,50,0.20080321285140562,1,249000,1.2048192771084336,True,2.4166666666666665,3.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hddm_w,learned_features_label,1000,249,0,0.0,0,0,6,0.024096385542168676,0,249000,0.0,True,,,3.0,3.0,3.0,,0.0,0.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hellinger,none,1000,249,19,0.07630522088353414,1,1,31,0.12449799196787148,0,249000,0.4016064257028113,True,6.75,7.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hellinger,learned_features,1000,249,22,0.08835341365461848,2,4,44,0.17670682730923695,2,249000,0.8032128514056226,True,4.083333333333333,5.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,hellinger,learned_features_label,1000,249,17,0.06827309236947791,1,1,14,0.05622489959839357,0,249000,0.4016064257028113,True,4.75,4.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,d3_oof,none,1000,249,6,0.024096385542168676,0,0,23,0.09236947791164658,0,249000,0.0,True,9.25,,1.0,3.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,d3_oof,learned_features,1000,249,11,0.04417670682730924,1,1,97,0.3895582329317269,0,249000,0.4016064257028113,True,10.083333333333334,6.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s1__instance__moderate__a1,SEA_A,instance,moderate,d3_oof,learned_features_label,1000,249,4,0.01606425702811245,0,0,6,0.024096385542168676,0,249000,0.0,True,18.25,,2.0,3.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,adwin,none,1000,249,1,0.004016064257028112,1,1,49,0.19678714859437751,0,249000,0.4016064257028113,True,4.75,6.75,2.0,2.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,adwin,learned_features,1000,249,1,0.004016064257028112,1,1,50,0.20080321285140562,0,249000,0.4016064257028113,True,4.75,6.75,2.0,2.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,adwin,learned_features_label,1000,249,4,0.01606425702811245,1,1,34,0.13654618473895583,0,249000,0.4016064257028113,True,4.0,5.75,1.0,2.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s1__instance__severe__a1,SEA_A,instance,severe,hddm_w,none,1000,249,77,0.3092369477911647,3,4,57,0.2289156626506024,1,249000,1.2048192771084336,True,1.4166666666666667,4.0,0.0,1.0,3.0,,0.0,1.0
